Date,Elevation (m),Soil Type,Slope Gradient (%),Temperature (Â°C),Rainfall (mm),Humidity (%),Forest Cover (%),Species Count,Endangered Species (Count),Groundwater Level (m),Surface Water Quality Index,Water Demand (MLD),Urban Area (%),Agricultural Land (%),Industrial Area (%),Flood Risk Level,Earthquake Intensity (Richter),Disaster Preparedness Index,AQI,Water Pollution Index,Waste Generation (tons/day),Population,Employment Rate (%),Policy Initiatives
4/30/2024,254.28,Loamy,2.32,32.3,1,37.5,Forest Cover (%),189,4,16.12,87.3,112.3,42.5,33.5,19.5,Medium,3.4,0.68,177,61.7,383.4,129014,67.2,No
5/1/2024,258.22,Loamy,3.69,39,10,61.4,Forest Cover (%),194,5,15.09,67.9,109,44.8,31,19.1,Low,4.9,0.74,151,75.2,300.7,129349,70.3,Yes
5/2/2024,258.63,Loamy,3.82,31,50,63.3,Forest Cover (%),180,4,17.29,81.3,98.5,41.9,30.6,19.1,High,4,0.53,172,61.7,347.3,128814,73.2,No
5/3/2024,252.72,Loamy,3.13,18.8,50,70.8,Forest Cover (%),193,3,22.94,85.3,84.5,40.3,33.7,15.5,High,3.1,0.6,103,61.2,328.7,123209,77,Yes
5/4/2024,254.66,Sandy,4.7,13.4,0,86.4,Forest Cover (%),172,5,21.43,71.7,81.1,42.9,31.7,15.2,High,4.3,0.68,200,59.7,385,129907,73.2,Yes
5/5/2024,252.74,Sandy,4.45,12,2,69.7,Forest Cover (%),155,3,24.23,83.1,114.7,41.3,31.5,15.3,High,3.7,0.8,169,51.6,352.5,120360,67.5,Yes
5/6/2024,252.02,Sandy,2.15,18.4,5,47.6,Forest Cover (%),183,4,15.12,85.9,92.9,43.7,33.1,18.6,Medium,3.3,0.61,204,56,300.5,124305,74.4,Yes
5/7/2024,253.5,Sandy,3.16,41,2,86.1,Forest Cover (%),193,3,18.36,79.2,104.6,41.7,32.6,19.3,Low,4.6,0.52,128,79.3,359,127794,66.2,Yes
5/8/2024,253.25,Clayey,4.53,18.9,0,49.4,Forest Cover (%),196,3,16.51,65.3,80.7,43.7,32,17.1,Medium,3.2,0.57,217,55,307.5,120055,74.4,No
5/9/2024,255.68,Alluvial,3.28,22.3,2,45.7,Forest Cover (%),197,5,18.74,81.4,101.2,42.2,31.8,16.1,High,4.7,0.74,219,79.1,363.6,125800,74.7,No
5/10/2024,259.03,Alluvial,4.01,9.2,0,67.2,Forest Cover (%),153,4,17.73,60.3,113,43.1,32.4,16.4,High,4.8,0.63,195,77.5,350.1,122531,72.2,Yes
5/11/2024,250.73,Loamy,2.52,15.4,0,69.2,Forest Cover (%),159,3,15.61,72.9,111,43.8,32.7,16.8,Low,4.7,0.54,169,67.9,349.3,122676,79.8,Yes
5/12/2024,254.21,Sandy,4.27,30.7,0,70.6,Forest Cover (%),177,5,21.85,65.2,106.9,40.7,30.5,18.3,Low,3.6,0.68,173,61.1,394.3,123145,72.3,Yes
5/13/2024,251.22,Clayey,4.09,13.8,0,51.3,Forest Cover (%),191,3,22.09,85.1,102,41.4,32.4,15.6,Medium,4.4,0.64,195,57.8,356.6,122847,84.5,Yes
5/14/2024,257.07,Sandy,4.43,14.4,0,61,Forest Cover (%),190,3,19.76,74.9,95.7,44.3,30,16.6,High,3.5,0.71,179,75.5,322.2,126395,65.4,No
5/15/2024,255.65,Alluvial,2.95,32.3,0,47.4,Forest Cover (%),162,3,22.58,80,80.3,44,33.1,19.3,Medium,3.8,0.78,164,68.1,358.5,125706,83.4,No
5/16/2024,251.69,Loamy,2.73,27.8,0,71.4,Forest Cover (%),186,4,15.18,67,102.9,42,35,15.9,High,3.1,0.65,120,50.2,374.8,124056,65.8,Yes
5/17/2024,253.52,Sandy,2.05,30.5,0,82.1,Forest Cover (%),168,3,18.76,68,97.5,41.8,34.1,19.4,Medium,4.4,0.6,220,74.4,306.9,125442,70.9,No
5/18/2024,257.64,Sandy,4.83,13.4,0,62.2,Forest Cover (%),199,5,23.45,69.6,103.8,43.3,33.4,17.2,Medium,3.5,0.5,165,62.2,323.7,123607,70.8,Yes
5/19/2024,257.86,Loamy,2.72,11,2,75.4,Forest Cover (%),153,4,15.7,74.4,94.7,44,34.4,15.3,Low,3.1,0.52,225,73.7,312.8,121699,76.5,Yes
5/20/2024,259.35,Alluvial,4.39,39.7,0,40,Forest Cover (%),192,4,17.16,77.3,113.8,43.5,32.9,20,Medium,4.3,0.58,131,53.2,380.9,128628,79.3,Yes
5/21/2024,254.88,Sandy,3.11,19.8,2,80.9,Forest Cover (%),157,4,21.3,66,100,40.6,33.9,15.2,Medium,3.2,0.74,192,78.1,323.7,129770,70.4,Yes
5/22/2024,251.04,Loamy,4.39,34.4,0,84.9,Forest Cover (%),178,5,19.9,61.4,111.1,41.3,31.7,16.5,Low,3.4,0.53,121,80,318.6,123186,68.5,Yes
5/23/2024,256.37,Sandy,2.95,15.2,20,82.5,Forest Cover (%),161,4,21.53,70.7,92.6,44.5,31.2,17.1,High,4,0.66,152,74.7,326.7,121042,84.6,No
5/24/2024,255.97,Loamy,3.62,10.3,0,74.2,Forest Cover (%),153,3,19.24,75.7,114.6,43.8,34.1,16.1,High,3.2,0.55,221,70.2,375.8,123638,80.9,No
5/25/2024,253.59,Sandy,4.24,12.2,50,50.8,Forest Cover (%),180,5,19.19,82.2,97.4,42.3,33,17.2,Low,3.7,0.78,195,63.3,372.8,129816,81,Yes
5/26/2024,257.34,Loamy,3.64,39.2,0,64.8,Forest Cover (%),198,3,20.51,63.4,117.2,41.1,30.8,18.2,Low,3.1,0.52,193,57.2,394.8,122451,67.9,No
5/27/2024,254.02,Alluvial,2.65,8.9,50,65.5,Forest Cover (%),157,4,18.78,74.6,88.7,44.8,33.8,18,High,3.8,0.53,128,53.7,328.4,122102,66.8,No
5/28/2024,254.83,Loamy,2.39,29.4,0,67.4,Forest Cover (%),179,3,16.99,87.5,89.2,44.7,31.2,16.3,Medium,3.4,0.5,177,71.4,346.5,128151,79.4,No
5/29/2024,258.68,Sandy,2.18,40.9,2,73.1,Forest Cover (%),157,3,21.17,61.5,91.6,43.4,34.2,19.1,Medium,4.9,0.67,184,69.1,310.2,124608,77.6,Yes
5/30/2024,252.92,Loamy,4.74,9,20,45.7,Forest Cover (%),186,3,16.85,86.3,87.5,40.7,32.8,18.6,High,3.3,0.58,143,53.2,370.7,120161,65.6,Yes
5/31/2024,252.9,Alluvial,2.71,11.9,5,80,Forest Cover (%),190,4,15.68,68.5,90.1,42,33.1,18,Low,3.9,0.52,110,70.9,344.2,123755,74.1,No
6/1/2024,253.59,Alluvial,4.93,13.6,1,33.9,Forest Cover (%),188,5,15.6,75.9,115.4,40.1,31.9,15.1,Medium,3.6,0.63,139,71.9,349.4,124969,68.1,No
6/2/2024,250.06,Clayey,2.96,36.3,2,43.7,Forest Cover (%),151,4,17.96,72.5,119.7,40.2,31.5,16.9,Medium,4.2,0.73,240,54.2,324.1,120069,78.6,No
6/3/2024,250.18,Loamy,4.59,27.6,10,82.3,Forest Cover (%),195,5,20.34,73.4,86.7,40.5,32.9,18.9,Medium,4.9,0.72,174,72.8,346.1,126502,65.7,No
6/4/2024,258.42,Clayey,3.92,9.2,10,63.2,Forest Cover (%),155,5,18.99,86.1,94.5,40.5,30.9,19.2,High,3.7,0.73,193,72.2,387.9,126199,83.5,No
6/5/2024,259.15,Sandy,4.87,8.1,0,74.3,Forest Cover (%),173,4,19.98,73.4,89.1,41.1,34.6,16.9,High,4.9,0.79,232,60,372.5,123545,77.3,Yes
6/6/2024,253.84,Alluvial,4.42,23.7,1,51.5,Forest Cover (%),151,4,16.81,74.9,80,41.3,34.7,18.2,Medium,3.5,0.55,158,74.3,374.7,125414,68.4,No
6/7/2024,252.23,Sandy,3.71,16,20,55.5,Forest Cover (%),154,5,15.16,65,112.5,41.8,34,18.3,High,4.7,0.65,116,67.9,395,127238,80.3,No
6/8/2024,255.98,Sandy,2.11,38.3,50,67.1,Forest Cover (%),150,4,16.04,65.2,81.6,43.8,31.2,15.4,Medium,4.9,0.77,165,56.6,377.2,128333,79.5,Yes
6/9/2024,250.41,Alluvial,2.37,38.5,0,73.8,Forest Cover (%),152,3,22.1,88.5,105.1,42.3,30.5,17.9,Medium,4.2,0.63,149,74.2,362.4,121951,78.3,No
6/10/2024,259.07,Sandy,2.52,10.5,1,75.3,Forest Cover (%),158,4,18.21,71.5,101.5,40.3,33.2,19.3,Medium,5,0.79,179,73.3,305.5,126179,71.7,Yes
6/11/2024,252.2,Alluvial,4.9,40.3,20,56.2,Forest Cover (%),172,3,16.25,61.7,115.2,40.7,30.3,16.2,Medium,4.8,0.55,204,72.3,364.3,122585,81,No
6/12/2024,253.74,Loamy,2.48,35.7,10,58.4,Forest Cover (%),174,5,24.86,62.1,118,44.6,32.4,15.4,Medium,3.2,0.59,196,56.3,345.6,129840,74.6,No
6/13/2024,259.08,Sandy,2.1,22.7,0,74.2,Forest Cover (%),170,3,18.8,84.3,82.2,40.5,33,19,Low,3.7,0.6,158,61.3,343.1,127750,77.8,Yes
6/14/2024,258.69,Sandy,3.68,27.6,1,86.3,Forest Cover (%),152,4,20.62,86.1,110.4,42,34.4,18.8,Medium,3.9,0.53,148,61.9,345.2,122314,69.6,Yes
6/15/2024,250.26,Clayey,4.82,29.2,10,69,Forest Cover (%),179,5,17.38,72.8,114.9,42.4,31,17.7,Low,3.2,0.52,231,78.2,345.8,120818,69.9,No
6/16/2024,255.49,Sandy,3.25,29.5,20,84.5,Forest Cover (%),153,3,24.61,65.2,86.8,41,33.4,18.6,Low,4.3,0.66,150,53.4,344.6,129294,84.4,No
6/17/2024,258.6,Alluvial,2.12,26.1,0,50.5,Forest Cover (%),160,3,23.73,73.2,90.2,43,30,15,Low,4.5,0.55,122,76.7,346.6,125984,72.7,Yes
6/18/2024,257.8,Sandy,2.84,34.7,0,34.5,Forest Cover (%),182,3,24.57,86.1,106,43,34.7,15.7,High,3.9,0.79,186,79.5,391.5,124317,68.6,No
6/19/2024,250.61,Alluvial,2.59,13.2,50,57.6,Forest Cover (%),181,5,19.74,81.3,118.9,44.6,33.5,15.1,Low,4.2,0.69,221,78.4,315.6,128569,81.7,Yes
6/20/2024,256.96,Loamy,4.81,20.8,2,70.6,Forest Cover (%),194,4,19.58,68.3,93.8,44.3,34.9,15.5,Medium,4.1,0.67,233,51.8,325.9,124394,68.6,No
6/21/2024,258.87,Loamy,2.19,9.8,0,70.6,Forest Cover (%),199,4,22.29,79.7,90.7,43.1,34.6,16.5,High,4.4,0.68,111,71.8,304.2,123264,80.4,No
6/22/2024,258.56,Alluvial,3.84,27.4,0,75.9,Forest Cover (%),187,5,23.2,84.5,117.4,42.6,31.3,18.8,Low,4.1,0.74,232,77.3,344.6,125424,71.5,No
6/23/2024,254.02,Loamy,4.62,10.1,0,70.4,Forest Cover (%),198,4,24.03,62.5,114.2,40.3,31.7,18.8,High,4.9,0.72,241,64.8,307.8,128314,72.8,No
6/24/2024,258.29,Alluvial,3.05,18.9,10,67.7,Forest Cover (%),154,5,23.25,80.1,115.3,44.7,31,16,High,4.1,0.69,201,68.2,330,122630,74,No
6/25/2024,254.24,Clayey,4.87,22.7,20,63.5,Forest Cover (%),159,3,19.64,80.5,97.4,44.9,33.8,19.3,Low,4.9,0.52,151,54.5,333.6,122641,79.6,Yes
6/26/2024,257.36,Alluvial,3.3,20.5,5,37.1,Forest Cover (%),197,5,20.66,67.7,98.1,44.9,33,17.4,Low,4.7,0.57,171,72.8,379.1,127336,83,No
6/27/2024,259.72,Loamy,3.53,35.3,0,34,Forest Cover (%),187,5,15.7,81.3,84.4,42.5,31,17.5,Medium,3.9,0.52,149,79.4,335.6,121115,71.3,Yes
6/28/2024,253,Alluvial,2.09,37,0,48,Forest Cover (%),172,4,24.43,81.6,116.7,40.8,31.3,19.7,Medium,4.7,0.53,165,70.5,313.2,123111,77.7,Yes
6/29/2024,258.78,Sandy,3.24,31.4,10,44.9,Forest Cover (%),193,4,18.64,89.2,90.2,42.9,31.5,17.1,Low,3.4,0.74,227,62.8,362.7,121018,72.9,No
6/30/2024,251.33,Sandy,3.54,34.1,0,40.8,Forest Cover (%),183,5,18.67,89.7,101.3,44.1,34.6,19.9,High,3.2,0.69,206,54.1,379.7,124224,78.7,No
7/1/2024,250.38,Loamy,3.3,13.9,0,88.9,Forest Cover (%),191,5,24.74,75.6,86.4,41,30.3,19.9,High,4.8,0.74,126,77.1,392.7,129836,68.5,No
7/2/2024,250.13,Clayey,4.57,12.2,10,74.9,Forest Cover (%),163,5,19.67,78.5,81.3,41.6,34.3,18.9,High,5,0.66,207,53.8,311.7,125733,79.8,Yes
7/3/2024,253.26,Sandy,3.48,15.3,0,39.3,Forest Cover (%),173,4,18.21,79.4,94.4,43.7,30.5,16.8,Medium,4.6,0.65,194,50.6,304.1,128598,82.3,No
7/4/2024,256.74,Sandy,2.64,22.3,0,79.4,Forest Cover (%),187,3,21.86,85.5,82.1,41.9,32.1,18.9,Low,4.1,0.76,157,55.3,366.3,126790,80.4,No
7/5/2024,255.1,Clayey,4.84,38,1,87.9,Forest Cover (%),185,5,24.24,77.3,108.2,43.3,30.7,19,Medium,4.9,0.71,122,76.9,334.7,129544,69,No
7/6/2024,255.05,Clayey,3.43,17.4,20,72.2,Forest Cover (%),173,5,16.63,62.8,101.3,44.5,31.5,18.8,High,3,0.76,132,66.6,392.9,125450,82.1,Yes
7/7/2024,251.49,Alluvial,3.63,41,5,67.5,Forest Cover (%),198,5,19.37,62.6,82.1,43,34.1,15.1,Medium,3.1,0.67,170,73.9,335.9,122815,83.4,Yes
7/8/2024,256.82,Loamy,3.55,26.8,50,59,Forest Cover (%),162,3,15.08,71,81.6,40.7,32.7,17.4,High,3.5,0.69,229,76.5,397.9,129287,66.9,No
7/9/2024,250.19,Loamy,3.39,14.1,0,34.5,Forest Cover (%),163,4,18.45,63.1,116.4,40.4,34.3,16.1,Low,4.4,0.63,156,60.7,318.5,124412,81.4,No
7/10/2024,251.75,Sandy,2.91,31.9,10,37.9,Forest Cover (%),160,3,18.65,79,103.6,44.5,32.1,19.9,Medium,4.5,0.57,242,70.7,375,123190,83.6,Yes
7/11/2024,254.9,Loamy,4.3,24.1,50,80.2,Forest Cover (%),196,3,18.01,62.1,94.1,41.2,32.5,18.3,High,4.8,0.68,211,73,330.5,129269,65.7,Yes
7/12/2024,255,Loamy,3.11,23.1,1,78.4,Forest Cover (%),193,4,17.56,89.1,117.9,41.4,30.1,15.5,High,3.7,0.62,125,76.5,300.8,125286,83.4,No
7/13/2024,254.66,Alluvial,2.02,27.1,5,33.2,Forest Cover (%),151,5,22.26,72.3,95.7,44.4,34.3,18.9,Low,3.4,0.56,227,65.3,377.3,122875,83.3,Yes
7/14/2024,251.99,Sandy,2.57,36.4,0,85.5,Forest Cover (%),191,3,20.33,64.7,116.6,42.1,35,15.2,High,3.8,0.77,217,74.7,326.2,123987,83.8,Yes
7/15/2024,254.92,Clayey,3.4,36.3,0,72,Forest Cover (%),152,3,21.82,83.4,108.1,42.8,30.4,17.4,Medium,4.8,0.54,105,59.1,374.2,127656,75.2,Yes
7/16/2024,259.9,Sandy,2.39,29.8,1,74.6,Forest Cover (%),189,4,24.58,60.6,116,44.5,30.3,17.5,Medium,4,0.59,244,63.6,320.8,128731,80.4,Yes
7/17/2024,256.1,Loamy,4.77,19.9,1,62.7,Forest Cover (%),186,5,15.72,74.4,103.6,44.9,31.2,18.8,High,5,0.54,140,78.9,309.4,122534,66.9,No
7/18/2024,252.82,Sandy,2.92,27,1,50.2,Forest Cover (%),163,3,21.58,75.6,97.1,42.6,30.6,19.1,Low,4.1,0.52,184,70.6,302.2,128008,69.4,Yes
7/19/2024,257.69,Clayey,2.67,22.1,0,77,Forest Cover (%),162,5,17.88,60.5,106.1,43.4,34,15.4,Low,3.9,0.5,128,73.4,336.3,123969,80,Yes
7/20/2024,252.58,Sandy,3.18,13.6,10,56.8,Forest Cover (%),154,3,20.79,78.1,98,40.5,33,17.7,Medium,3.9,0.66,189,77.1,341.1,121925,70.6,No
7/21/2024,251.99,Clayey,4.09,33.2,0,75.4,Forest Cover (%),173,4,20.1,85,97.6,44.9,34.8,18.1,Low,3.9,0.62,182,61.6,398,126260,66.7,No
7/22/2024,256.07,Clayey,3.73,36.5,5,56.1,Forest Cover (%),164,5,17.37,75.5,104.9,41.9,30.4,18.6,Low,3.4,0.71,227,70.2,314.7,124553,70.1,Yes
7/23/2024,254.01,Loamy,4.11,36.6,2,38.9,Forest Cover (%),154,5,23.61,72.7,87.3,40.6,34.9,15.1,High,4,0.65,243,57.5,303.6,120183,81.2,No
7/24/2024,259.1,Loamy,3.86,12.6,0,72.8,Forest Cover (%),185,4,18.08,66.2,110.2,40.3,33.7,18.2,Low,4.3,0.77,232,53.4,306.6,129547,71,No
7/25/2024,257.97,Sandy,4.14,28.1,50,64.1,Forest Cover (%),194,5,21.28,73.3,113.9,42,31.7,16.5,Low,3.4,0.51,118,61.5,351.6,120728,65.7,Yes
7/26/2024,250.65,Sandy,2.97,31.7,20,34.1,Forest Cover (%),153,3,24,73.5,105.6,43.3,33.3,16.8,Medium,3.4,0.73,131,58.7,317.8,122995,71.2,Yes
7/27/2024,253.04,Loamy,2.63,35.7,10,80.7,Forest Cover (%),179,5,18.4,86,85.1,41.9,31.3,16.5,Low,4.3,0.57,112,57.1,313.8,124318,77.9,No
7/28/2024,257.14,Loamy,4.52,18,10,72.6,Forest Cover (%),173,3,19.45,68.1,112.1,41.7,32.8,16.9,Medium,3.1,0.51,230,72.8,357.8,123486,83.4,Yes
7/29/2024,250.58,Loamy,2.69,32.9,0,51.2,Forest Cover (%),191,5,18.4,63.2,80.6,40.2,30.5,15.2,High,4,0.77,133,61.4,390.6,122197,75.3,No
7/30/2024,255.4,Loamy,3.14,33.4,10,64.7,Forest Cover (%),174,3,19.72,75.2,89.9,43.9,31.9,17.5,Low,3.9,0.6,197,70.1,329.3,120475,76.4,No
7/31/2024,250.77,Alluvial,4.51,27.7,2,48.8,Forest Cover (%),183,5,15.02,82.1,87.2,41,33.1,17.4,Low,3.9,0.62,178,58.7,383.7,129736,74.1,Yes
8/1/2024,256.27,Sandy,2.36,15.7,5,57.8,Forest Cover (%),184,5,24.44,61.5,98,43.7,31,15.1,Medium,4.9,0.79,108,57.3,342,126565,81.6,No
8/2/2024,254.98,Sandy,2.56,14.5,0,51.8,Forest Cover (%),194,5,19.73,60.6,86.9,44.9,30.2,18.6,Low,3.1,0.76,222,63.8,387.8,126961,80.8,Yes
8/3/2024,255.85,Alluvial,3.43,24,0,34.3,Forest Cover (%),151,4,19.04,65.9,102.2,43.9,31.2,19.4,Low,3.8,0.57,183,66.7,375.7,126977,65.2,Yes
8/4/2024,256.16,Loamy,4.41,23.9,10,84.5,Forest Cover (%),199,5,18.72,72.6,114,42.4,31.2,18.7,Medium,3.6,0.52,127,65.1,339,121953,77.1,Yes
8/5/2024,259.96,Clayey,3.68,40.5,10,69.6,Forest Cover (%),178,3,17.05,63.3,93.8,40.5,31.2,17.4,High,4.5,0.53,150,62.6,318.9,126911,65.5,No
8/6/2024,252.94,Clayey,2.54,32.8,10,57.3,Forest Cover (%),171,4,20.58,70.2,91,43,34.6,19.4,Low,4,0.77,137,76.1,355.3,127486,84.5,Yes
8/7/2024,252.75,Clayey,3.35,14.3,1,30.8,Forest Cover (%),176,5,19.15,78.5,96.4,40.3,32.5,18.5,Low,4,0.66,160,74,356.1,123520,75.9,No
8/8/2024,258.68,Loamy,4.11,28.6,20,38.5,Forest Cover (%),189,3,18.46,68.8,103.7,44,32.5,16.7,Medium,4.9,0.74,132,68,305.2,121073,80.1,No
8/9/2024,250.35,Clayey,4.78,16.8,1,81.2,Forest Cover (%),194,5,19.51,81.1,98.2,41.1,34.6,19.3,High,4.2,0.72,233,65.4,346.8,127390,78.2,Yes
8/10/2024,255.96,Sandy,4.45,39.9,0,32.1,Forest Cover (%),172,5,20.14,65.5,109.4,43.7,32.1,15.4,High,4.5,0.72,115,58,316.4,125076,82.2,Yes
8/11/2024,257.14,Clayey,3.99,33.6,1,81.3,Forest Cover (%),158,3,22.03,68.3,83.6,43,34.8,16.3,High,3.4,0.77,180,61.7,304.9,123621,83.4,No
8/12/2024,252.78,Clayey,3.13,27.6,10,36.9,Forest Cover (%),153,5,15.1,66.3,86.4,44.9,31.8,16.2,Low,3.1,0.7,238,76.5,306.3,120157,75.2,Yes
8/13/2024,252.22,Clayey,2.17,20,0,38.6,Forest Cover (%),186,4,16.87,83.3,91.9,40.1,30.5,17,Low,3,0.52,199,51.9,328.2,129947,65.2,Yes
8/14/2024,256.2,Loamy,2.51,38.7,0,30.1,Forest Cover (%),181,3,17.42,78.7,88.5,44.7,34.3,19.6,Medium,4.4,0.53,207,53.8,363.5,127294,70.5,No
8/15/2024,254.9,Clayey,2.78,30.9,10,66,Forest Cover (%),153,5,16.51,85.4,104.8,42.7,33,16.4,High,5,0.55,158,53.2,304.6,125621,79.6,No
8/16/2024,253.16,Alluvial,3.01,22.5,50,64,Forest Cover (%),152,3,16.32,78.7,119.4,43.2,31.3,17.2,Low,4.7,0.65,165,61.6,345.4,128004,68.4,Yes
8/17/2024,254.34,Alluvial,3.63,18.9,0,40.4,Forest Cover (%),154,4,20.66,63.9,87.2,44.9,32.4,17.1,Low,4.6,0.58,204,57.2,317.6,124166,70.6,No
8/18/2024,256.78,Clayey,2.55,36.5,20,32.7,Forest Cover (%),157,3,19.59,70.5,110.6,43.1,35,18.1,High,4.3,0.65,231,74.9,395.1,123358,72.8,Yes
8/19/2024,250.15,Alluvial,2.35,34.2,20,56.4,Forest Cover (%),193,4,15.59,67.8,119.5,44.8,32.4,18.3,Medium,3.5,0.78,171,52.2,349.7,121445,77,Yes
8/20/2024,257.32,Sandy,4.38,23.7,20,50,Forest Cover (%),188,4,20.38,68.6,85.1,43.6,30.6,16,Medium,3.8,0.76,128,72.8,346.5,129886,81.8,No
8/21/2024,255.32,Alluvial,2.06,17.2,0,40.2,Forest Cover (%),183,4,17.14,89.7,102.7,44.2,30.1,15.7,Low,3.2,0.73,196,69.6,330.6,129948,82.2,Yes
8/22/2024,258.14,Alluvial,2.27,36.4,10,37.7,Forest Cover (%),159,3,21.32,77.2,101.3,41.8,32.2,16.4,Medium,3.5,0.77,216,61.5,362.5,121725,80.9,No
8/23/2024,258,Alluvial,3.99,35,5,32.8,Forest Cover (%),172,4,20.33,77,102.3,44.1,31.2,15,Low,3.1,0.78,237,64,349.3,127493,71.6,Yes
8/24/2024,253.37,Loamy,2.5,37.3,10,81.7,Forest Cover (%),178,5,21.3,87.5,91.1,44.3,34.9,18.5,High,3.9,0.71,225,58.2,325,128804,75.2,Yes
8/25/2024,259.09,Alluvial,2.94,36.2,20,40.3,Forest Cover (%),158,5,23.36,74.9,83.9,43.6,33.8,15.9,Medium,4.8,0.52,120,72.6,318.2,122676,68.1,No
8/26/2024,258.26,Clayey,3.07,31,0,56.8,Forest Cover (%),189,3,16.18,61.8,107.5,42.6,30.6,17.9,Medium,4.3,0.62,110,56,382.1,126494,76.7,Yes
8/27/2024,254.23,Loamy,4.75,19.8,1,58.1,Forest Cover (%),177,5,19.11,80,119.4,42.3,34.6,15.6,Medium,3.2,0.58,248,51.5,359.1,126889,65.7,Yes
8/28/2024,255.74,Loamy,2.61,40.2,0,65.9,Forest Cover (%),156,5,18.4,74.2,88.4,42.7,34.7,16.5,Medium,3.3,0.59,193,72.8,340.4,125757,84.8,No
8/29/2024,252.62,Clayey,2.84,28.4,1,77.7,Forest Cover (%),170,4,19.38,78.6,115,41.9,31.4,19.8,Low,3.4,0.77,210,74.5,375,121647,76.2,No
8/30/2024,253.23,Sandy,2.72,25.2,50,79.8,Forest Cover (%),154,3,15.34,88.8,113.4,42.7,33.8,19.3,Low,3.6,0.52,189,63.1,318.3,126679,82.2,No
